order_date,shipment_date,region,city,product,category,segment,department,customer_type,quantity,revenue,cost,discount,shipping_cost
2024-10-27,2024-11-01,North,Chandigarh,Jeans,Clothing,Consumer,Finance,Returning,14,71265.6,60723.32,0.09,2998.18
2024-05-31,2024-06-05,West,Mumbai,Cabinet,Furniture,Home Office,Marketing,VIP,1,30939.0,30552.7,0.17,2088.82
2024-11-21,2024-11-25,North,Lucknow,Coffee,Grocery,Consumer,Marketing,New,20,46800.0,42802.33,0.19,214.33
2025-01-17,2025-01-24,West,Mumbai,Jeans,Clothing,Consumer,Marketing,Returning,6,29508.0,32327.79,0.29,1639.47
2024-08-27,2024-08-29,East,Kolkata,Shoes,Clothing,Corporate,Marketing,New,5,18775.0,20686.75,0.24,1160.75
2025-01-18,2025-01-23,West,Mumbai,T-Shirt,Clothing,Corporate,Marketing,VIP,19,26353.0,21782.03,0.07,172.57
2024-06-03,2024-06-10,East,Patna,Chair,Furniture,Home Office,Finance,VIP,4,31884.0,35509.15,0.3,436.75
2025-05-01,2025-05-10,South,Hyderabad,Cabinet,Furniture,Corporate,Marketing,VIP,14,211764.0,151871.55,0.03,1519.11
2025-05-01,2025-05-05,West,Pune,Tablet,Electronics,Consumer,Finance,Returning,12,258132.0,269597.43,0.29,1140.15
2024-04-18,2024-04-28,West,Pune,Chair,Furniture,Corporate,Sales,VIP,1,26856.0,27282.54,0.24,695.1
2024-01-02,2024-01-07,South,Hyderabad,Desk,Furniture,Corporate,Operations,VIP,5,67595.0,62606.19,0.24,418.79
2024-03-30,2024-04-04,North,Delhi,Tablet,Electronics,Consumer,Marketing,New,2,46614.0,45298.27,0.22,1481.11
2024-01-23,2024-02-01,East,Patna,Monitor,Electronics,Home Office,Operations,VIP,10,450180.0,474025.19,0.25,1336.19
2024-03-16,2024-03-18,North,Chandigarh,Rice,Grocery,Consumer,Marketing,VIP,5,6615.0,7236.97,0.16,1415.77
2024-07-30,2024-08-05,West,Mumbai,Smartphone,Electronics,Corporate,Finance,New,15,616965.0,544958.01,0.13,2028.81
2024-08-09,2024-08-11,East,Kolkata,Rice,Grocery,Consumer,Sales,New,12,15612.0,18745.96,0.29,1728.88
2024-11-03,2024-11-08,North,Chandigarh,Shoes,Clothing,Home Office,Sales,Returning,12,32284.8,30452.33,0.2,750.31
2025-03-08,2025-03-17,North,Chandigarh,T-Shirt,Clothing,Corporate,Operations,Returning,20,53800.0,43563.83,0.05,2137.83
2024-12-02,2024-12-09,East,Bhubaneswar,T-Shirt,Clothing,Consumer,Operations,VIP,3,4503.6,5514.42,0.16,1190.96
2024-11-01,2024-11-03,West,Pune,Sofa,Furniture,Corporate,Marketing,VIP,2,36758.4,29689.0,0.02,1385.03
2024-02-28,2024-03-05,West,Pune,Snacks,Grocery,Corporate,Operations,VIP,14,16506.0,15912.41,0.2,231.71
2025-01-27,2025-01-30,West,Ahmedabad,Laptop,Electronics,Consumer,Marketing,New,9,305721.0,276497.8,0.15,1348.9
2024-01-22,2024-01-29,South,Chennai,Sofa,Furniture,Consumer,Finance,VIP,1,10102.0,9455.45,0.13,1272.83
2025-02-14,2025-02-24,West,Pune,Monitor,Electronics,Consumer,Marketing,New,15,1042905.0,1043710.62,0.25,805.62
2024-06-19,2024-06-22,West,Ahmedabad,Monitor,Electronics,Corporate,Marketing,New,3,145365.0,120096.71,0.06,2351.06
2024-04-11,2024-04-14,East,Patna,Desk,Furniture,Consumer,Operations,Returning,20,198760.0,198217.86,0.19,1445.46
2024-08-28,2024-09-05,West,Ahmedabad,Jacket,Clothing,Consumer,Finance,New,10,9600.0,9640.18,0.15,1000.18
2025-03-18,2025-03-20,West,Mumbai,Tablet,Electronics,Corporate,Sales,VIP,20,1078660.0,995234.47,0.17,2867.27
2024-03-18,2024-03-19,North,Chandigarh,Sofa,Furniture,Home Office,Finance,VIP,15,412605.0,375684.06,0.19,213.51
2024-07-28,2024-08-03,West,Pune,Sofa,Furniture,Corporate,Marketing,Returning,20,538620.0,422190.9,0.03,2067.3
2024-06-07,2024-06-14,East,Bhubaneswar,Sofa,Furniture,Consumer,Operations,Returning,5,52760.0,50407.42,0.11,2395.82
2024-07-04,2024-07-09,South,Hyderabad,Monitor,Electronics,Home Office,Marketing,New,6,464010.0,385885.27,0.15,756.97
2024-06-21,2024-07-01,South,Bangalore,Tablet,Electronics,Consumer,Sales,VIP,5,270705.0,199723.9,0.05,2109.25
2025-01-03,2025-01-07,South,Hyderabad,Rice,Grocery,Corporate,Marketing,VIP,15,8685.0,8292.86,0.16,997.46
2024-09-14,2024-09-23,West,Mumbai,Shoes,Clothing,Corporate,Marketing,Returning,14,29890.0,30429.41,0.18,2631.71
2025-03-09,2025-03-18,North,Lucknow,Coffee,Grocery,Home Office,Sales,VIP,4,2632.0,3825.92,0.13,1588.72
2024-01-28,2024-02-04,West,Mumbai,Cabinet,Furniture,Corporate,Sales,Returning,17,347667.0,299175.36,0.11,181.74
2025-04-14,2025-04-22,North,Lucknow,Jeans,Clothing,Consumer,Sales,Returning,5,20870.0,15356.15,0.0,329.75
2024-06-03,2024-06-05,East,Kolkata,Cabinet,Furniture,Consumer,Marketing,New,2,65026.0,56696.51,0.03,2724.93
2024-11-10,2024-11-16,North,Lucknow,Desk,Furniture,Corporate,Finance,New,8,310080.0,286891.71,0.2,1618.11
2024-07-17,2024-07-23,East,Kolkata,Monitor,Electronics,Corporate,Sales,VIP,9,575784.0,472942.15,0.02,799.27
2024-06-22,2024-06-25,North,Lucknow,Jeans,Clothing,Consumer,Marketing,VIP,15,29895.0,24896.73,0.04,2176.53
2024-06-10,2024-06-15,West,Mumbai,Jeans,Clothing,Consumer,Operations,New,17,43775.0,43553.7,0.23,654.2
2025-03-31,2025-04-07,East,Kolkata,Jacket,Clothing,Consumer,Marketing,Returning,15,49155.0,48240.07,0.15,1542.82
2024-05-30,2024-06-05,East,Kolkata,Rice,Grocery,Corporate,Operations,VIP,4,2908.0,4885.66,0.13,2181.22
2025-03-21,2025-03-27,South,Hyderabad,Coffee,Grocery,Corporate,Sales,VIP,20,5060.0,5730.81,0.2,1278.01
2024-04-30,2024-05-06,South,Bangalore,Cabinet,Furniture,Consumer,Operations,New,12,85464.0,70401.64,0.13,1175.8
2024-05-22,2024-05-26,West,Mumbai,Sofa,Furniture,Corporate,Marketing,VIP,4,68768.0,61557.01,0.12,1728.85
2025-04-14,2025-04-22,East,Bhubaneswar,Milk,Grocery,Home Office,Marketing,VIP,7,7175.0,8267.52,0.05,2168.77
2024-10-04,2024-10-09,North,Lucknow,Jacket,Clothing,Home Office,Sales,VIP,10,23112.0,19933.26,0.11,750.3
2024-10-20,2024-10-26,South,Bangalore,Cabinet,Furniture,Consumer,Marketing,VIP,15,243072.0,190164.27,0.09,2998.83
2025-05-12,2025-05-18,West,Ahmedabad,Snacks,Grocery,Home Office,Sales,New,3,2415.0,4412.11,0.04,2504.26
2024-03-25,2024-03-28,South,Bangalore,Rice,Grocery,Consumer,Operations,Returning,11,12782.0,14696.11,0.27,2553.21
2024-09-30,2024-10-02,East,Kolkata,Jeans,Clothing,Home Office,Marketing,VIP,17,29971.0,32160.84,0.2,2189.84
2025-01-29,2025-02-08,East,Patna,Laptop,Electronics,Consumer,Sales,VIP,9,519048.0,515401.83,0.19,1544.31
2024-08-20,2024-08-22,East,Patna,Shoes,Clothing,Consumer,Finance,Returning,2,7808.0,8426.08,0.14,1086.56
2024-09-20,2024-09-29,South,Chennai,Jacket,Clothing,Corporate,Operations,Returning,4,17284.0,13954.8,0.08,818.96
2025-05-07,2025-05-10,North,Delhi,Shoes,Clothing,Home Office,Finance,New,11,22605.0,20394.16,0.05,2988.31
2024-09-15,2024-09-23,West,Pune,Shoes,Clothing,Consumer,Sales,Returning,8,7184.0,7795.52,0.08,1832.8
2025-01-07,2025-01-13,West,Pune,Laptop,Electronics,Corporate,Operations,Returning,13,506766.0,466889.22,0.17,664.5
2024-12-14,2024-12-24,East,Kolkata,Snacks,Grocery,Home Office,Marketing,VIP,4,4147.2,5396.44,0.24,1083.35
2024-01-20,2024-01-23,East,Kolkata,Cabinet,Furniture,Home Office,Sales,New,11,396517.0,335764.36,0.04,2690.08
2024-06-21,2024-06-30,South,Chennai,Jeans,Clothing,Corporate,Marketing,VIP,17,50235.0,47384.44,0.24,1168.24
2025-05-10,2025-05-20,North,Chandigarh,T-Shirt,Clothing,Home Office,Finance,Returning,19,84265.0,76344.63,0.16,2191.43
2024-01-10,2024-01-18,West,Mumbai,Chair,Furniture,Home Office,Sales,New,11,164164.0,134528.12,0.06,1555.28
2024-06-15,2024-06-23,West,Ahmedabad,Smartphone,Electronics,Home Office,Operations,VIP,17,674815.0,689404.05,0.27,1092.75
2024-10-12,2024-10-17,East,Patna,Shoes,Clothing,Consumer,Operations,Returning,8,27523.2,25814.42,0.06,2144.47
2024-12-12,2024-12-21,East,Bhubaneswar,Jacket,Clothing,Corporate,Sales,VIP,13,51901.2,54919.56,0.24,942.31
2024-09-02,2024-09-06,East,Patna,Tablet,Electronics,Corporate,Marketing,VIP,7,484820.0,404649.18,0.03,2248.58
2024-02-21,2024-02-28,South,Bangalore,Smartphone,Electronics,Home Office,Operations,New,11,682132.0,620855.15,0.23,115.03
2024-06-13,2024-06-18,South,Chennai,Snacks,Grocery,Home Office,Operations,Returning,2,2390.0,4716.97,0.22,2565.97
2024-04-05,2024-04-10,North,Delhi,Milk,Grocery,Consumer,Finance,Returning,2,1572.0,4241.71,0.09,2968.39
2024-03-24,2024-04-01,West,Mumbai,Coffee,Grocery,Consumer,Sales,Returning,9,14472.0,13256.77,0.1,955.57
2024-07-24,2024-07-26,South,Bangalore,Snacks,Grocery,Home Office,Marketing,New,6,4572.0,4508.93,0.28,119.81
2025-01-05,2025-01-15,West,Mumbai,Coffee,Grocery,Corporate,Marketing,VIP,1,227.0,1665.3,0.2,1449.65
2024-11-10,2024-11-14,South,Chennai,T-Shirt,Clothing,Home Office,Marketing,Returning,8,42403.2,37738.25,0.14,2967.63
2024-08-16,2024-08-25,East,Bhubaneswar,Milk,Grocery,Consumer,Sales,VIP,12,21564.0,22267.35,0.16,1565.91
2024-10-25,2024-11-02,South,Bangalore,Shoes,Clothing,Consumer,Operations,VIP,3,14936.4,10938.12,0.02,482.64
2024-01-12,2024-01-19,West,Pune,Monitor,Electronics,Home Office,Marketing,VIP,9,616563.0,476082.23,0.02,1328.72
2024-07-28,2024-07-31,North,Lucknow,Laptop,Electronics,Corporate,Sales,Returning,5,325945.0,273156.25,0.11,2621.9
2024-04-01,2024-04-10,West,Pune,Smartphone,Electronics,Home Office,Marketing,New,13,645554.0,484331.43,0.0,165.93
2024-06-26,2024-06-29,East,Bhubaneswar,Snacks,Grocery,Consumer,Operations,Returning,9,15813.0,17696.28,0.2,1883.28
2024-11-02,2024-11-03,North,Delhi,Chair,Furniture,Consumer,Sales,Returning,8,75830.4,60636.1,0.07,730.08
2024-11-02,2024-11-08,North,Delhi,Jeans,Clothing,Home Office,Marketing,VIP,8,45792.0,39363.23,0.12,897.95
2024-12-09,2024-12-16,South,Hyderabad,Snacks,Grocery,Consumer,Marketing,VIP,17,8262.0,6994.99,0.09,633.25
2025-04-13,2025-04-14,West,Mumbai,Sofa,Furniture,Home Office,Operations,Returning,18,581328.0,506594.85,0.12,839.49
2025-01-05,2025-01-09,East,Patna,Monitor,Electronics,Corporate,Sales,VIP,2,65186.0,55886.01,0.02,2433.49
2025-04-24,2025-04-28,South,Chennai,Sofa,Furniture,Corporate,Sales,New,4,145544.0,125860.93,0.18,693.09
2024-11-28,2024-12-04,South,Hyderabad,Jacket,Clothing,Corporate,Finance,VIP,10,56400.0,47197.96,0.15,385.96
2024-10-15,2024-10-19,West,Pune,Sofa,Furniture,Corporate,Finance,New,5,132540.0,107088.61,0.05,1056.61
2025-01-25,2025-02-02,West,Ahmedabad,Cabinet,Furniture,Home Office,Marketing,Returning,16,256400.0,204240.98,0.04,1684.98
2024-07-30,2024-08-02,South,Hyderabad,Laptop,Electronics,Consumer,Sales,New,8,155632.0,130356.84,0.15,1182.28
2024-01-09,2024-01-18,West,Ahmedabad,Rice,Grocery,Consumer,Finance,New,9,10152.0,12105.18,0.24,2054.7
2024-09-26,2024-10-01,South,Bangalore,Smartphone,Electronics,Consumer,Operations,VIP,12,390228.0,379952.25,0.29,1431.09
2025-03-15,2025-03-16,South,Hyderabad,Sofa,Furniture,Home Office,Sales,VIP,3,89565.0,75389.87,0.14,1946.57
2025-05-15,2025-05-17,South,Bangalore,Snacks,Grocery,Home Office,Marketing,VIP,17,9044.0,10699.43,0.27,2107.63
2024-10-15,2024-10-16,West,Pune,Laptop,Electronics,Home Office,Marketing,VIP,6,546242.4,510286.97,0.18,2281.54
2025-03-03,2025-03-10,West,Mumbai,Jeans,Clothing,Home Office,Operations,VIP,18,29628.0,33309.47,0.3,2200.07
2024-11-05,2024-11-15,East,Kolkata,Monitor,Electronics,Consumer,Sales,Returning,20,983952.0,868856.26,0.08,2978.5
2024-10-26,2024-11-02,West,Mumbai,Shoes,Clothing,Corporate,Operations,VIP,3,9064.8,7857.02,0.02,877.12
2024-02-16,2024-02-17,West,Ahmedabad,Cabinet,Furniture,Corporate,Marketing,New,10,285870.0,226480.74,0.04,643.44
2024-10-10,2024-10-12,West,Ahmedabad,Rice,Grocery,Consumer,Sales,Returning,20,3000.0,3744.62,0.09,1224.62
2024-03-12,2024-03-17,North,Lucknow,Desk,Furniture,Home Office,Finance,New,10,373170.0,288241.19,0.05,900.29
2024-11-16,2024-11-24,East,Bhubaneswar,Tablet,Electronics,Corporate,Operations,VIP,20,1329936.0,1117265.87,0.04,119.63
2025-02-21,2025-03-03,West,Pune,Coffee,Grocery,Corporate,Marketing,Returning,5,5405.0,7437.47,0.09,2897.27
2025-02-22,2025-03-01,East,Bhubaneswar,Milk,Grocery,Corporate,Finance,Returning,12,5616.0,7311.29,0.2,1695.29
2024-12-10,2024-12-18,West,Ahmedabad,Cabinet,Furniture,Corporate,Sales,Returning,5,149076.0,143796.39,0.2,2174.19
2024-09-16,2024-09-23,West,Mumbai,Snacks,Grocery,Home Office,Finance,VIP,18,23688.0,22613.17,0.19,346.45
2024-11-26,2024-12-03,South,Hyderabad,Jeans,Clothing,Home Office,Sales,VIP,11,18044.4,13555.32,0.03,743.8
2024-01-13,2024-01-21,South,Chennai,Shoes,Clothing,Corporate,Operations,Returning,4,4812.0,6692.6,0.25,2217.44
2024-08-31,2024-09-02,East,Bhubaneswar,Shoes,Clothing,Consumer,Finance,Returning,15,46680.0,43994.74,0.09,2449.54
2024-05-04,2024-05-13,North,Delhi,T-Shirt,Clothing,Home Office,Operations,VIP,6,19266.0,17816.06,0.13,1439.96
2024-01-15,2024-01-25,West,Ahmedabad,Desk,Furniture,Home Office,Finance,Returning,7,232057.0,223471.49,0.21,696.77
2024-08-22,2024-08-24,North,Lucknow,Smartphone,Electronics,Corporate,Marketing,New,9,530595.0,431009.0,0.09,1227.05
2024-03-29,2024-04-03,West,Ahmedabad,Tablet,Electronics,Corporate,Finance,VIP,20,1073540.0,849082.2,0.04,985.6
2024-07-15,2024-07-22,South,Chennai,Cabinet,Furniture,Corporate,Operations,VIP,6,98118.0,76193.45,0.09,642.59
2024-04-09,2024-04-16,West,Ahmedabad,Tablet,Electronics,Consumer,Finance,New,18,866232.0,781768.21,0.15,2159.41
2024-05-29,2024-05-30,West,Pune,Chair,Furniture,Home Office,Sales,New,9,215262.0,193836.48,0.14,2253.3
2025-02-25,2025-02-26,West,Ahmedabad,Laptop,Electronics,Corporate,Marketing,VIP,15,762075.0,741208.4,0.22,1995.65
2024-08-12,2024-08-14,South,Chennai,Monitor,Electronics,Corporate,Marketing,New,8,230032.0,200203.58,0.18,2376.06
2024-12-26,2024-12-31,South,Bangalore,Jacket,Clothing,Home Office,Operations,Returning,10,56568.0,50155.99,0.2,376.15
2024-03-15,2024-03-21,West,Mumbai,Jeans,Clothing,Home Office,Operations,New,8,36072.0,34065.52,0.17,879.28
2024-09-20,2024-09-25,West,Pune,Rice,Grocery,Home Office,Sales,Returning,12,15492.0,13963.99,0.0,2344.99
2025-05-10,2025-05-17,North,Lucknow,Coffee,Grocery,Consumer,Finance,New,7,12572.0,11870.52,0.09,1687.2
2024-02-20,2024-02-28,South,Hyderabad,Coffee,Grocery,Home Office,Sales,New,1,1034.0,3581.41,0.0,2878.29
2024-12-01,2024-12-07,South,Hyderabad,Sofa,Furniture,Consumer,Marketing,New,9,317185.2,254734.14,0.12,985.98
2024-02-09,2024-02-12,South,Chennai,Laptop,Electronics,Consumer,Operations,Returning,19,566637.0,386409.53,0.0,1096.37
2024-02-15,2024-02-17,North,Chandigarh,Cabinet,Furniture,Consumer,Operations,Returning,4,116352.0,99030.93,0.11,2458.77
2024-11-28,2024-12-01,South,Hyderabad,Chair,Furniture,Home Office,Sales,VIP,15,341316.0,275143.84,0.12,2091.04
2025-05-08,2025-05-15,South,Bangalore,Smartphone,Electronics,Consumer,Finance,Returning,11,735284.0,640516.76,0.19,819.68
2024-07-19,2024-07-24,East,Patna,Tablet,Electronics,Consumer,Operations,VIP,2,132734.0,111718.01,0.03,1548.79
2025-03-16,2025-03-26,North,Lucknow,Tablet,Electronics,Corporate,Operations,Returning,14,545258.0,405294.27,0.02,1803.35
2024-05-26,2024-06-04,North,Chandigarh,Chair,Furniture,Consumer,Finance,VIP,14,439082.0,388278.7,0.16,1886.54
2024-10-01,2024-10-07,East,Kolkata,T-Shirt,Clothing,Home Office,Operations,New,13,47424.0,46969.26,0.13,2864.94
2024-11-09,2024-11-19,South,Bangalore,Chair,Furniture,Corporate,Sales,Returning,2,39626.4,37401.85,0.21,2134.35
2025-01-18,2025-01-23,South,Chennai,Jacket,Clothing,Consumer,Marketing,New,4,12976.0,12129.74,0.13,1619.18
2024-09-12,2024-09-22,East,Patna,Monitor,Electronics,Corporate,Marketing,New,6,234576.0,196462.43,0.03,1764.35
2024-08-29,2024-09-04,North,Delhi,Laptop,Electronics,Consumer,Operations,New,13,978991.0,717092.46,0.01,2429.03
2025-02-26,2025-02-28,West,Mumbai,Jeans,Clothing,Corporate,Marketing,Returning,19,87628.0,90000.66,0.27,620.1
2024-02-14,2024-02-23,North,Chandigarh,Monitor,Electronics,Corporate,Marketing,Returning,15,232830.0,208200.04,0.17,981.34
2024-01-04,2024-01-11,South,Chennai,Shoes,Clothing,Consumer,Operations,New,1,578.0,2399.22,0.0,2006.18
2025-05-12,2025-05-15,East,Kolkata,Desk,Furniture,Corporate,Finance,New,9,70893.0,75735.51,0.25,1297.86
2025-02-23,2025-03-02,East,Bhubaneswar,Laptop,Electronics,Home Office,Operations,VIP,3,161370.0,176679.94,0.29,786.64
